reference_char,hypothesis_char,pair,operation,folded_equal,count,item_id,engine,stage,document_type,difficulty
u,a,u->a,substitution,False,1,data_2,easyocr,raw,non-academic,hard
u,e,u->e,substitution,False,1,data_2,easyocr,raw,non-academic,hard
u,ı,u->ı,substitution,False,1,data_2,easyocr,raw,non-academic,hard
ü,u,ü->u,substitution,True,1,data_2,easyocr,raw,non-academic,hard
ı,,ı-><del>,deletion,False,3,data_2,easyocr,raw,non-academic,hard
ş, ,ş-> ,substitution,False,1,data_2,easyocr,raw,non-academic,hard
,C,<ins>->C,insertion,False,1,data_2,easyocr,corrected,non-academic,hard
,G,<ins>->G,insertion,False,3,data_2,easyocr,corrected,non-academic,hard
,I,<ins>->I,insertion,False,1,data_2,easyocr,corrected,non-academic,hard
,O,<ins>->O,insertion,False,1,data_2,easyocr,corrected,non-academic,hard
,U,<ins>->U,insertion,False,1,data_2,easyocr,corrected,non-academic,hard
,i,<ins>->i,insertion,False,7,data_2,easyocr,corrected,non-academic,hard
,o,<ins>->o,insertion,False,5,data_2,easyocr,corrected,non-academic,hard
,s,<ins>->s,insertion,False,3,data_2,easyocr,corrected,non-academic,hard
,u,<ins>->u,insertion,False,6,data_2,easyocr,corrected,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_2,easyocr,corrected,non-academic,hard
,ü,<ins>->ü,insertion,False,2,data_2,easyocr,corrected,non-academic,hard
,ı,<ins>->ı,insertion,False,4,data_2,easyocr,corrected,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_2,easyocr,corrected,non-academic,hard
 ,i, ->i,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
G,,G-><del>,deletion,False,2,data_2,easyocr,corrected,non-academic,hard
I,,I-><del>,deletion,False,1,data_2,easyocr,corrected,non-academic,hard
a,o,a->o,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
a,u,a->u,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
e,u,e->u,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
i,,i-><del>,deletion,False,2,data_2,easyocr,corrected,non-academic,hard
i,E,i->E,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
i,m,i->m,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
l,G,l->G,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
l,i,l->i,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
l,s,l->s,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
n,ş,n->ş,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
o,,o-><del>,deletion,False,2,data_2,easyocr,corrected,non-academic,hard
o,a,o->a,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
o,ı,o->ı,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
s,,s-><del>,deletion,False,1,data_2,easyocr,corrected,non-academic,hard
s,o,s->o,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
u,a,u->a,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
u,e,u->e,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
u,ı,u->ı,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
ü,u,ü->u,substitution,True,1,data_2,easyocr,corrected,non-academic,hard
İ,I,İ->I,substitution,True,2,data_2,easyocr,corrected,non-academic,hard
ı,,ı-><del>,deletion,False,3,data_2,easyocr,corrected,non-academic,hard
ş, ,ş-> ,substitution,False,1,data_2,easyocr,corrected,non-academic,hard
,C,<ins>->C,insertion,False,3,data_3,tesseract,raw,non-academic,hard
,G,<ins>->G,insertion,False,2,data_3,tesseract,raw,non-academic,hard
,I,<ins>->I,insertion,False,3,data_3,tesseract,raw,non-academic,hard
,S,<ins>->S,insertion,False,16,data_3,tesseract,raw,non-academic,hard
,c,<ins>->c,insertion,False,3,data_3,tesseract,raw,non-academic,hard
,g,<ins>->g,insertion,False,4,data_3,tesseract,raw,non-academic,hard
,i,<ins>->i,insertion,False,33,data_3,tesseract,raw,non-academic,hard
,o,<ins>->o,insertion,False,8,data_3,tesseract,raw,non-academic,hard
,s,<ins>->s,insertion,False,13,data_3,tesseract,raw,non-academic,hard
,u,<ins>->u,insertion,False,2,data_3,tesseract,raw,non-academic,hard
,Ö,<ins>->Ö,insertion,False,4,data_3,tesseract,raw,non-academic,hard
,ç,<ins>->ç,insertion,False,6,data_3,tesseract,raw,non-academic,hard
,ö,<ins>->ö,insertion,False,4,data_3,tesseract,raw,non-academic,hard
,ü,<ins>->ü,insertion,False,10,data_3,tesseract,raw,non-academic,hard
,ğ,<ins>->ğ,insertion,False,8,data_3,tesseract,raw,non-academic,hard
,İ,<ins>->İ,insertion,False,2,data_3,tesseract,raw,non-academic,hard
,ı,<ins>->ı,insertion,False,4,data_3,tesseract,raw,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_3,tesseract,raw,non-academic,hard
A,ü,A->ü,substitution,False,1,data_3,tesseract,raw,non-academic,hard
C,4,C->4,substitution,False,1,data_3,tesseract,raw,non-academic,hard
C,l,C->l,substitution,False,1,data_3,tesseract,raw,non-academic,hard
G,o,G->o,substitution,False,2,data_3,tesseract,raw,non-academic,hard
I,,I-><del>,deletion,False,1,data_3,tesseract,raw,non-academic,hard
K,u,K->u,substitution,False,2,data_3,tesseract,raw,non-academic,hard
i,m,i->m,substitution,False,1,data_3,tesseract,raw,non-academic,hard
y,i,y->i,substitution,False,2,data_3,tesseract,raw,non-academic,hard
ı,n,ı->n,substitution,False,1,data_3,tesseract,raw,non-academic,hard
ı,ü,ı->ü,substitution,False,1,data_3,tesseract,raw,non-academic,hard
,C,<ins>->C,insertion,False,3,data_3,tesseract,corrected,non-academic,hard
,G,<ins>->G,insertion,False,2,data_3,tesseract,corrected,non-academic,hard
,I,<ins>->I,insertion,False,5,data_3,tesseract,corrected,non-academic,hard
,S,<ins>->S,insertion,False,16,data_3,tesseract,corrected,non-academic,hard
,c,<ins>->c,insertion,False,3,data_3,tesseract,corrected,non-academic,hard
,g,<ins>->g,insertion,False,4,data_3,tesseract,corrected,non-academic,hard
,i,<ins>->i,insertion,False,33,data_3,tesseract,corrected,non-academic,hard
,o,<ins>->o,insertion,False,8,data_3,tesseract,corrected,non-academic,hard
,s,<ins>->s,insertion,False,13,data_3,tesseract,corrected,non-academic,hard
,u,<ins>->u,insertion,False,2,data_3,tesseract,corrected,non-academic,hard
,Ö,<ins>->Ö,insertion,False,4,data_3,tesseract,corrected,non-academic,hard
,ç,<ins>->ç,insertion,False,6,data_3,tesseract,corrected,non-academic,hard
,ö,<ins>->ö,insertion,False,4,data_3,tesseract,corrected,non-academic,hard
,ü,<ins>->ü,insertion,False,10,data_3,tesseract,corrected,non-academic,hard
,ğ,<ins>->ğ,insertion,False,8,data_3,tesseract,corrected,non-academic,hard
,ı,<ins>->ı,insertion,False,4,data_3,tesseract,corrected,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_3,tesseract,corrected,non-academic,hard
A,ü,A->ü,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
C,4,C->4,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
C,l,C->l,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
G,o,G->o,substitution,False,2,data_3,tesseract,corrected,non-academic,hard
I,,I-><del>,deletion,False,1,data_3,tesseract,corrected,non-academic,hard
K,u,K->u,substitution,False,2,data_3,tesseract,corrected,non-academic,hard
i,m,i->m,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
y,i,y->i,substitution,False,2,data_3,tesseract,corrected,non-academic,hard
ı,n,ı->n,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
ı,ü,ı->ü,substitution,False,1,data_3,tesseract,corrected,non-academic,hard
,C,<ins>->C,insertion,False,2,data_3,easyocr,raw,non-academic,hard
,G,<ins>->G,insertion,False,2,data_3,easyocr,raw,non-academic,hard
,S,<ins>->S,insertion,False,15,data_3,easyocr,raw,non-academic,hard
,c,<ins>->c,insertion,False,2,data_3,easyocr,raw,non-academic,hard
,g,<ins>->g,insertion,False,4,data_3,easyocr,raw,non-academic,hard
,i,<ins>->i,insertion,False,33,data_3,easyocr,raw,non-academic,hard
,o,<ins>->o,insertion,False,9,data_3,easyocr,raw,non-academic,hard
,s,<ins>->s,insertion,False,13,data_3,easyocr,raw,non-academic,hard
,u,<ins>->u,insertion,False,4,data_3,easyocr,raw,non-academic,hard
,Ö,<ins>->Ö,insertion,False,4,data_3,easyocr,raw,non-academic,hard
,ç,<ins>->ç,insertion,False,6,data_3,easyocr,raw,non-academic,hard
,ö,<ins>->ö,insertion,False,4,data_3,easyocr,raw,non-academic,hard
,ü,<ins>->ü,insertion,False,8,data_3,easyocr,raw,non-academic,hard
,ğ,<ins>->ğ,insertion,False,6,data_3,easyocr,raw,non-academic,hard
,İ,<ins>->İ,insertion,False,2,data_3,easyocr,raw,non-academic,hard
,ı,<ins>->ı,insertion,False,3,data_3,easyocr,raw,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_3,easyocr,raw,non-academic,hard
C, ,C-> ,substitution,False,2,data_3,easyocr,raw,non-academic,hard
G,a,G->a,substitution,False,1,data_3,easyocr,raw,non-academic,hard
G,o,G->o,substitution,False,1,data_3,easyocr,raw,non-academic,hard
f,S,f->S,substitution,False,1,data_3,easyocr,raw,non-academic,hard
ı,n,ı->n,substitution,False,1,data_3,easyocr,raw,non-academic,hard
ı,r,ı->r,substitution,False,1,data_3,easyocr,raw,non-academic,hard
,C,<ins>->C,insertion,False,2,data_3,easyocr,corrected,non-academic,hard
,G,<ins>->G,insertion,False,2,data_3,easyocr,corrected,non-academic,hard
,I,<ins>->I,insertion,False,2,data_3,easyocr,corrected,non-academic,hard
,S,<ins>->S,insertion,False,15,data_3,easyocr,corrected,non-academic,hard
,c,<ins>->c,insertion,False,2,data_3,easyocr,corrected,non-academic,hard
,g,<ins>->g,insertion,False,4,data_3,easyocr,corrected,non-academic,hard
,i,<ins>->i,insertion,False,33,data_3,easyocr,corrected,non-academic,hard
,o,<ins>->o,insertion,False,9,data_3,easyocr,corrected,non-academic,hard
,s,<ins>->s,insertion,False,13,data_3,easyocr,corrected,non-academic,hard
,u,<ins>->u,insertion,False,4,data_3,easyocr,corrected,non-academic,hard
,Ö,<ins>->Ö,insertion,False,4,data_3,easyocr,corrected,non-academic,hard
,ç,<ins>->ç,insertion,False,6,data_3,easyocr,corrected,non-academic,hard
,ö,<ins>->ö,insertion,False,4,data_3,easyocr,corrected,non-academic,hard
,ü,<ins>->ü,insertion,False,8,data_3,easyocr,corrected,non-academic,hard
,ğ,<ins>->ğ,insertion,False,6,data_3,easyocr,corrected,non-academic,hard
,ı,<ins>->ı,insertion,False,3,data_3,easyocr,corrected,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_3,easyocr,corrected,non-academic,hard
C, ,C-> ,substitution,False,2,data_3,easyocr,corrected,non-academic,hard
G,a,G->a,substitution,False,1,data_3,easyocr,corrected,non-academic,hard
G,o,G->o,substitution,False,1,data_3,easyocr,corrected,non-academic,hard
f,S,f->S,substitution,False,1,data_3,easyocr,corrected,non-academic,hard
ı,n,ı->n,substitution,False,1,data_3,easyocr,corrected,non-academic,hard
ı,r,ı->r,substitution,False,1,data_3,easyocr,corrected,non-academic,hard
,C,<ins>->C,insertion,False,2,data_4,tesseract,raw,non-academic,hard
,G,<ins>->G,insertion,False,2,data_4,tesseract,raw,non-academic,hard
,I,<ins>->I,insertion,False,6,data_4,tesseract,raw,non-academic,hard
,O,<ins>->O,insertion,False,9,data_4,tesseract,raw,non-academic,hard
,S,<ins>->S,insertion,False,61,data_4,tesseract,raw,non-academic,hard
,c,<ins>->c,insertion,False,2,data_4,tesseract,raw,non-academic,hard
,g,<ins>->g,insertion,False,1,data_4,tesseract,raw,non-academic,hard
,i,<ins>->i,insertion,False,15,data_4,tesseract,raw,non-academic,hard
,o,<ins>->o,insertion,False,10,data_4,tesseract,raw,non-academic,hard
,s,<ins>->s,insertion,False,6,data_4,tesseract,raw,non-academic,hard
,u,<ins>->u,insertion,False,1,data_4,tesseract,raw,non-academic,hard
,Ö,<ins>->Ö,insertion,False,2,data_4,tesseract,raw,non-academic,hard
,Ü,<ins>->Ü,insertion,False,1,data_4,tesseract,raw,non-academic,hard
,ç,<ins>->ç,insertion,False,2,data_4,tesseract,raw,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_4,tesseract,raw,non-academic,hard
,ü,<ins>->ü,insertion,False,8,data_4,tesseract,raw,non-academic,hard
,ğ,<ins>->ğ,insertion,False,3,data_4,tesseract,raw,non-academic,hard
,İ,<ins>->İ,insertion,False,9,data_4,tesseract,raw,non-academic,hard
,ı,<ins>->ı,insertion,False,4,data_4,tesseract,raw,non-academic,hard
,Ş,<ins>->Ş,insertion,False,7,data_4,tesseract,raw,non-academic,hard
,ş,<ins>->ş,insertion,False,2,data_4,tesseract,raw,non-academic,hard
 ,G, ->G,substitution,False,1,data_4,tesseract,raw,non-academic,hard
*,S,*->S,substitution,False,1,data_4,tesseract,raw,non-academic,hard
C, ,C-> ,substitution,False,1,data_4,tesseract,raw,non-academic,hard
C,e,C->e,substitution,False,1,data_4,tesseract,raw,non-academic,hard
D,İ,D->İ,substitution,False,1,data_4,tesseract,raw,non-academic,hard
E,ğ,E->ğ,substitution,False,1,data_4,tesseract,raw,non-academic,hard
G,a,G->a,substitution,False,1,data_4,tesseract,raw,non-academic,hard
G,i,G->i,substitution,False,1,data_4,tesseract,raw,non-academic,hard
T,S,T->S,substitution,False,1,data_4,tesseract,raw,non-academic,hard
c, ,c-> ,substitution,False,1,data_4,tesseract,raw,non-academic,hard
f,s,f->s,substitution,False,1,data_4,tesseract,raw,non-academic,hard
f,u,f->u,substitution,False,1,data_4,tesseract,raw,non-academic,hard
i,K,i->K,substitution,False,1,data_4,tesseract,raw,non-academic,hard
i,a,i->a,substitution,False,2,data_4,tesseract,raw,non-academic,hard
i,e,i->e,substitution,False,1,data_4,tesseract,raw,non-academic,hard
i,m,i->m,substitution,False,1,data_4,tesseract,raw,non-academic,hard
i,r,i->r,substitution,False,1,data_4,tesseract,raw,non-academic,hard
i,©,i->©,substitution,False,1,data_4,tesseract,raw,non-academic,hard
o, ,o-> ,substitution,False,2,data_4,tesseract,raw,non-academic,hard
o,e,o->e,substitution,False,1,data_4,tesseract,raw,non-academic,hard
o,r,o->r,substitution,False,1,data_4,tesseract,raw,non-academic,hard
o,ı,o->ı,substitution,False,1,data_4,tesseract,raw,non-academic,hard
p,ç,p->ç,substitution,False,1,data_4,tesseract,raw,non-academic,hard
s,l,s->l,substitution,False,1,data_4,tesseract,raw,non-academic,hard
u,(,u->(,substitution,False,1,data_4,tesseract,raw,non-academic,hard
Ü,Y,Ü->Y,substitution,False,1,data_4,tesseract,raw,non-academic,hard
ö,ş,ö->ş,substitution,False,1,data_4,tesseract,raw,non-academic,hard
ş,l,ş->l,substitution,False,1,data_4,tesseract,raw,non-academic,hard
,C,<ins>->C,insertion,False,2,data_4,tesseract,corrected,non-academic,hard
,G,<ins>->G,insertion,False,2,data_4,tesseract,corrected,non-academic,hard
,I,<ins>->I,insertion,False,7,data_4,tesseract,corrected,non-academic,hard
,O,<ins>->O,insertion,False,9,data_4,tesseract,corrected,non-academic,hard
,S,<ins>->S,insertion,False,61,data_4,tesseract,corrected,non-academic,hard
,c,<ins>->c,insertion,False,2,data_4,tesseract,corrected,non-academic,hard
,g,<ins>->g,insertion,False,1,data_4,tesseract,corrected,non-academic,hard
,i,<ins>->i,insertion,False,15,data_4,tesseract,corrected,non-academic,hard
,o,<ins>->o,insertion,False,10,data_4,tesseract,corrected,non-academic,hard
,s,<ins>->s,insertion,False,6,data_4,tesseract,corrected,non-academic,hard
,u,<ins>->u,insertion,False,1,data_4,tesseract,corrected,non-academic,hard
,Ö,<ins>->Ö,insertion,False,2,data_4,tesseract,corrected,non-academic,hard
,Ü,<ins>->Ü,insertion,False,1,data_4,tesseract,corrected,non-academic,hard
,ç,<ins>->ç,insertion,False,2,data_4,tesseract,corrected,non-academic,hard
,ö,<ins>->ö,insertion,False,1,data_4,tesseract,corrected,non-academic,hard
,ü,<ins>->ü,insertion,False,8,data_4,tesseract,corrected,non-academic,hard
,ğ,<ins>->ğ,insertion,False,3,data_4,tesseract,corrected,non-academic,hard
,İ,<ins>->İ,insertion,False,8,data_4,tesseract,corrected,non-academic,hard
