text,target,source,is_toxic,predicted,confidence
bora mali aq kadini oldurcek dkekso,PROFANITY,told,1,SEXIST,0.9975120369501206
Medine dilencisine döndü amk cahilleri,RACIST,told,1,PROFANITY,0.9957908322788755
neden benim mothafuckin dick oğlum kurtulma bok zencimi kno sanmıyorum,RACIST,jigsaw,1,PROFANITY,0.9946143657477589
Kadınlar Neden Ona Sallanır Çok saçma Chris Brown aptal çirkin gay beceriksiz kendini beğenmiş ve yeteneksiz bir pislik,SEXIST,jigsaw,1,INSULT,0.9945798945528517
Tv3 çanta maymun Bana salak memesini sansürlemeyi bırak,PROFANITY,jigsaw,1,INSULT,0.9944228403600186
Özellikle kelimesinin bir kadın editörde erkek bir editör tarafından tekrar tekrar kullanılmasına izin verilmemelidir Sergi Bunun hakkında yanlış bir şey yok mu Gerçekten Her neyse ben lanet senin kaybolan bir yorum eski haline ve farkında olmayabilir ama WP sansür değil bu yüzden benim lanet benim söz konusu politika kapsamında ve izin ve onunla başa çıkmak zorunda Ama şimdi yeterli Çok bağlı oluyorum tıpkı benim için hala uzun bir yol olmasına rağmen ve hala yemek yemedim ve daha sonra bunun için cezamı beklemek zorunda kaldım Muhteşem görüşmeci konuşma,SEXIST,jigsaw,1,OTHER,0.9929204142144221
Haziran 2017 Cuma SA4441 TG227 Pakistan ve Afganistan da Çin Hindistan ABD İşbirlikleri Sonsuz Ark ın Notu Aşağıdaki metin yeterli bir analiz olmaktan çok uzak olmakla birlikte Hindistan Pakistan Afganistan ve İran gibi benzer dört ülke üzerinden yürüyen,OTHER,told,0,RACIST,0.9929019280456353
Halil Paşa Makalenin tamamında Halil Paşa ve üstün bir gücü yenen diğer Türk komutanlardan neredeyse hiç bahsedilmiyor Sanki İngilizler Marslılarla savaşmış gibi Tek bir Türkçe referans yok,OTHER,jigsaw,0,RACIST,0.9924532723157944
confomists gay ya digg,PROFANITY,jigsaw,1,SEXIST,0.9920306665181527
He aq kendini böyle kandır Kadına tecavüz kadına şiddet kadın cinayetleri yakın akrabalar arası evlilik dışı ilişki bunlar hepsi verilerle desteklenmiş durumda Hepsinde başı çekiyorsunuz Azıcık Kürtleri örnek alıp kadınlara saygı ve sevgi ile yaklaşmayi öğrenin,RACIST,told,1,SEXIST,0.9912162399414746
Siktir et lütfen Alıntı Konuşma sayfaları konunun genel tartışması için değildir Söz konusu makaleyi geliştirmenin yollarını tartışmak içindir Yukarıda listelenen sayfalara ve daha önce uyarıldığınız diğerlerine ek olarak Talk Space TV kanalı Tartışma Zoofili Tartışma Yevgeny Petrosyan Tartışma Klezmer Tartışma Sholem Aleichem Tartışma Oasis HD Tartışma Osetyalılar Tartışma Shish taouk Montreal Tartışma Semitik Tartışma Kilitleme TV dizisi ve çok daha fazlası geri döndü Lütfen bunu son uyarınız olarak düşünün Makale tartışma sayfalarına yararsız yorumlar göndermeye devam ederseniz düzenlemeniz engellenir Siz ilerlerken bir şeyler uyduruyorsunuz Yukarıdakilerden sadece biri için uyarıldım Ayrıca siktir git,PROFANITY,jigsaw,1,OTHER,0.9909469964415691
Hayırdır şimdi de konyalı mı oldunuz amk dönekleri,RACIST,told,1,PROFANITY,0.9906591932278415
Sevgili Piotrus Bükreş ten aptal bir okuma yazma bilmiyor Bükreş ten akıllı insanlarla tanıştınız mı,RACIST,jigsaw,1,INSULT,0.9903682210114925
Teşekkürler Gaylık Ödülü,SEXIST,jigsaw,1,OTHER,0.9876894828175173
yok Hey dostum senin sorunun ne,OTHER,told,0,INSULT,0.9865244704602826
Erik yüksek sesle bağırdığı için Yasal olarak çocuklarla seks yapabilirsiniz ancak reşit olmayan çocuklarla seks yapamazsınız Reşit olmayan çocuklar yasal rıza yaşının altındaki çocuklardır farklı eyaletlerde reşit olmayan sınır olarak 14 15 16 17 veya 18 bulunur Çoğu ülkedeki çocuklar 18 yaşın altındaki biri anlamına gelir İrlanda da örneğin çocuk 17 rıza yaşının üzerindedir İngiltere de 16 yaşındadır Konuyla ilgili ilk şeyi biliyor musunuz Adı standart ingilizce asage olduğunu Skandal bir POV terimidir İddia henüz mahkemeye gelmemiş teknik nedenlerle yargılanamayan ve geçersiz olarak atılan davaların tartışılmasına izin vermektedir Roman Katolik Kilisesi cinsiyeti standart İngilizcede iddiaları kötüye kullanmak Roma Katolik Kilisesi hakkında iddialar anlamına gelir Çocukların tecavüzünü tartışırken halkla ilişkiler küçük tabloid noktasıdır bu yüzden alakasız bir konu eklemeyi bırakın Etrafınızdaki muazzam değişiklikler yazım düzeltmeleri ve diğer sorunlar çözüldü Sizinle bir düzenleme çatışmasına yakalandım ve değişikliklerin ölçeği kesip yapıştırma işinden başka bir şey yapamaz Daha sonra doğru değişiklikleri aktarmak için sürümünüze girmeye çalıştım ancak daha sonra bir POV başlığı kullanarak makalenin konumu ile bu deli lanet başladı Dikkatli bir şekilde ifade edilmiş tarafsız bir başlığa geri döneceğim Ağu 2003 22 18 UTC,RACIST,jigsaw,1,OTHER,0.9865051378991192
Diğer takımlardan dönme olan kişiyi atlamışım abi,INSULT,told,1,OTHER,0.9851227290461453
yahu siz amma embesil almanlara ne varki satsın bi söyle bakıyım embesil,RACIST,bully,1,INSULT,0.9847203080421367
Koen franse olur gay,RACIST,jigsaw,1,SEXIST,0.9846962660075126
Sana işeyeceğim,PROFANITY,jigsaw,1,INSULT,0.9845568198851077
Ukala olmuyorum dostum Tüm bu kırmızı bağlantılar noterlikle benimsenmeyecektir HEPSİ DEĞİL Farkına varamadığınız şey budur Turgeon daki şarkı söylemek saçma İnatçılığınız bir anlaşmazlık başlattı Şimdi son kez BANA VE WWGB SAYFAYI TEMİZLEDİĞİNDE OCAK ÜZERİNE SAYFA KALDI Bunu anlayabileceğini düşünüyorum Sakin olmama FYI 22 56 24 Aralık 2010 UTC,INSULT,jigsaw,1,OTHER,0.9838160907755423
Antislavery değil Bu aptal makaleyi kim yazdı,RACIST,jigsaw,1,INSULT,0.9811088811799975
Hocam göte su kaçınca orucun bozulup bozulmadığı 1000 yıldır tartışılan bir konu Farklı yorumlar var Araştıralım,PROFANITY,told,1,OTHER,0.9808961096347508
Kaltak Lütfen Kadın lütfen,PROFANITY,jigsaw,1,SEXIST,0.9798849733541342
Kimsin İtiraf etmeliyim ki tanıştığım en çekici kişi değilsin adil olmakla birlikte daha kötü gördüm Bununla birlikte kullanıcı sayfanızda neden bir MASSIVE fotoğrafı var Estetik açıdan hoş olmadığı için olmasaydı tercih ederim 86 173 139 210,INSULT,jigsaw,1,OTHER,0.9776972663289705
Sevgili anonim kullanıcı veya sockpuppet Tartışacağın bir ruh halim yok Kendiniz için yeni arkadaşlar arayın orada veya tartışma • contribs,INSULT,jigsaw,1,OTHER,0.977694495552574
benim eski kankim kadın haklarını savunan biriydi baya özgür biriydi yani ama bi kızın fotosunu atıp allah çarpmış da diyodu işine geldiğinde kadınları savunur işine gelmediğinde hakaret ederdi aq tabii ben de iyi bok değildim aq wlwısuxksğsoxjme,PROFANITY,told,1,SEXIST,0.9765644816284663
MFNickster daha önce hiç maruz kaldığınızdan emin değilim tartışmalı yanlışlar ama sadece hakkında yazmadığı için Biyografik hesaplarında Zenci Nüfusu yok etmek bunun tamamen karşı olduğu bir fikir olduğu anlamına gelmez Var gibi görünüyor makalede bir bölümü garanti etmek için yeterli kanıt olması bu konu Onun için neden bu kadar zorlandığınızdan emin değilim senin büyükannen miydi,RACIST,jigsaw,1,OTHER,0.9752908795702419
pfhfhfhhhfhf ay çok uzun yaaaa dur özetliim şimdik bi tane sarışın kız var çok güzel bi kız Kız bi sabah kalkıyo yataktan giyiniyo kuşanıyo kasabaya alışverişe gidiyo Tam esnada kasabaya gelen kovboylardan bi tanesi atından iniyo Sen adam attan inerken yere bişi düşür,OTHER,told,0,SEXIST,0.9723001233855151
Ayrıca ip saldırganı bulunduğunuz Kaliforniya dan oldu Ben aptal değilim haklı olduğunu düşünüyorsun ama acınacak bir kaybeden başka bir şeyin yok,RACIST,jigsaw,1,INSULT,0.9710745869438978
Öyleydi ve cahilsin Lütfen yalnızca makale tartışma sayfasında yayınlayın,INSULT,jigsaw,1,OTHER,0.9701251462361087
Valla ben Angaralıları biliyorsam bisiklet yolunda arabayla üstümüze çıkılabilir Ama güzel düşünce,RACIST,told,1,OTHER,0.9699633539072271
Salak Piç Eşek berber nedir,PROFANITY,jigsaw,1,INSULT,0.9698336855652717
Vay canına bu olacağını düşündüğümden daha büyük bir kaltaktı Adlarını mümkün olduğunca mantıklı tutmamla birlikte nerede yaralandıkları hakkında herhangi bir sorunuz varsa taşıma günlüğümü kontrol edebilirsiniz Bir şey kaçırırsam haberim olsun,PROFANITY,jigsaw,1,OTHER,0.9688437945969766
Hahaha bana şu anda söylediğin bu saçmalığa gerçekten inanmıyor musun Kim Jong Un un kendisi değil ülkeye erişim veya hükümet temsilcileri hakkında konuşuyorsunuz Bunlar tamamen farklı iki şey aptallığınızı anlayabilsem de Kuzey Koreliler Kim Jong un un hükümet olduğunu düşünüyorlar sadece söylüyorum Git başka bir yere trol ol evlat,RACIST,jigsaw,1,INSULT,0.9685710888899349
SİZİN İLE HABERLER YANLIŞ WROIUTHJA SEORTIWEAJ ORT9IYUQP YUIQ ETIOGJAH DKLGHJETUIOY QEO89TYUQEO 589YJQ EORITA ETIOYJ JEY 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” 1984 suikastı savunan kontralar için CIA destekli bir elkitabı üzerindeki kanadın ardından Kuzey ajansın kontrendeki görev gücünü yürüten CIA memuru Vincent Cannistraro için NSC personelinde bir iş ayarlanmasına yardımcı oldu ” OMFG Birbirinizle tam bir kopya olan referans bölümü vardı bu yüzden SİZİN MORON FUCKING kurtuldum,PROFANITY,jigsaw,1,OTHER,0.9684322555097615
Anila yine yasinle aq ya ardahan ya yasin cogunlukla Ogedayda berkanla klasik Bu gonulluler kadinlari erkekleri tam koylu kurnazi aq ya,PROFANITY,told,1,SEXIST,0.968141031207308
anasını siktiler istanbulun aksaray da Türk yok hep suriyeli esenler bağcılar esenyurt da aynı,PROFANITY,told,1,RACIST,0.9678959034023268
Ulan siz geri zekalimisiniz Adam ülke için gece gündüz çalışıyor Siz arabalar atakmışsınız Gidin in nin reklam bütçesine ve dindaşlara ödediği milyarlari ve chp nin yıllık fonladigi 500 600 milyonları hesaplayın Siz bu ülkenin vatandaşı değilsiniz aq um cahilleri,INSULT,told,1,RACIST,0.9678453807473814
Bu adam pislik Kuzey İrlanda ya zarar vermek için daha fazla şey yaptı zaman neredeyse herkesten yıllar önce ölmüş olmalı,RACIST,jigsaw,1,INSULT,0.9666728584696007
Bunun ile çok kez tartışmıştık zaten Faşistin teki,RACIST,told,1,OTHER,0.9666669711625612
ekmeği bize çok gören kardeşlerim var awk,PROFANITY,told,1,OTHER,0.9665714018478587
kafziel bir hayat edin ve bu aptallar için çalışmayı bırakın eğer sizin için neyin iyi olduğunu biliyorsanız bu devam ederse tüm lanet şirket yanacaktır bok web sitesinin peice artık ziyaret olmaz ve ben de değil biliyorum tüm 100 kişiye söylüyorum senin pislik off lanet aşağı gidiyor,PROFANITY,jigsaw,1,INSULT,0.9650743171445572
Seni takip edeceğim Seni takip edeceğim ve sana korkunç şiddetli şeyler yapacağım Bu siz olsaydım ciddiye alacağım samimi bir tehdit İSLAM YARATANLARA DİKKAT EDİN 82 165 144 51,RACIST,jigsaw,1,INSULT,0.9646672757448674
İnstagram da bi adamla tartıstım 50 tlye çalıstıracak köle arıyor kendine ksldkspfkslflsld göbeği açık giydiğim için namussuz oldum üstüne yetmemiş bi de erkek arkadaşımı bulup ona mesaj atmış şey yazıyo mesaj da kardesim manitanı uyar dkspdkspfkd aramış bi de amk dürzüsü,INSULT,told,1,PROFANITY,0.9644203065422655
Yapılan kalleşliği asla unutmayız bekleyin,INSULT,told,1,OTHER,0.9640816774089617
Bi de karıların sapığı olur derler bize denk gelene bak aq,SEXIST,told,1,PROFANITY,0.9637601256275014
Lanet olası hippiler için vida Vikipedi Berbat WAVegetarian KÜÇÜK ERKEK seviyor,RACIST,jigsaw,1,INSULT,0.9636026161835961
İçişleri Bakanı Soylu Ankara da semt semt gezip CHP İYİ Parti ve SP yi PKK ile işbirliği yapmakla suçluyor Oysa PKK ya altın dönemini yaşatan çözüm sürecini göklere çıkartıyordu vaktiyle Sn Soylu HDP lileri MGK kararı ile Kandil gönderen AKP idi unuttunuz mu,OTHER,told,0,RACIST,0.9633625342365499
Norveç te bok olmaktan iyidir kral öyle bir örnek de vardı dhkskzndbd amk putperestleri Bir de Islam hakkında konuşuyorlar ya dişimi kırasım geliyor,RACIST,told,1,PROFANITY,0.9625068268769298
Serdar Aziz allahınızdan bulun kırmızı kart iki penaltı kasten verilmedi,INSULT,told,1,OTHER,0.9623274675338607
Onura en çok ben yakışırdım da onur bey kaşar seviyormuş,PROFANITY,told,1,OTHER,0.9616736478743543
brotherhood gibi bi tayfa kurup suriyelilerle catısma fikri cık siktir aklımdan,RACIST,told,1,PROFANITY,0.9605788013544332
kdv hel du ju vant nau Git kendini becer hayat bul,PROFANITY,jigsaw,1,INSULT,0.9603184224652384
“İstediğin kadar yaşa nasıl olsa birgün öleceksin Dilediğini sev nasıl olsa bir gün ayrılacaksın İstediğini yap nasıl olsa bir gün hesabını vereceksin “,OTHER,told,0,INSULT,0.9581342922505404
evet bu yüzden berbat,OTHER,jigsaw,0,INSULT,0.9578470432977787
Beni iğrendiriyorsunuz Beni aşırıcı faşizm sansürünle hasta ediyorsun,RACIST,jigsaw,1,INSULT,0.9576602759871798
yaparken zoruna gitmiyo aq salağı ben söyleyincede gitmesin midesizsin olum senn çift suratlı tarafada muamele farklıdır sahte davranısları basarırsın bılrım,INSULT,told,1,PROFANITY,0.9575557397863755
hadi yallah evinize amk ingilizleri,PROFANITY,told,1,RACIST,0.9574279621268463
Insan denir amk çunku kadini bi obje gormiyo,SEXIST,told,1,PROFANITY,0.9573875872939113
Kadınları benden daha çok seven bir erkek yok yeryüzünde amq aşığım hepsine,PROFANITY,told,1,SEXIST,0.9560241735875987
Telefonumu sıfırladım da numaralı kayıt ederken eski konuşmalara baktım WP den ben hazırlıkta mutlu insanmışım İyi niyete olan inancım insanlara güvencim hepsi yok olmuş Gerçi iyi de olmuş Bu RUHSUZlaşmamın tek sebebi ise küfüre bile layık olmayan şerefsiz bir arkadaş,INSULT,told,1,OTHER,0.9541692193075645
Defol Senin gibi salak MySpace fahişelere vaktimiz yok Bir şeyleri tahrip etmek ve salak makyaj sayfaları göndermek istiyorsanız lütfen başka bir yere gidin Teşekkür ederim Oh ve bu arada birisini utandırmaya veya taciz etmeye çalışıyorsanız cehenneme kim olursa olsun sadece lloyd değil tam adını yayınlamanız size yardımcı olur İşte anlayabileceğiniz bir şekilde yazılmış yukarıdaki ifade z0mg ur gaey gtfo newfag lolololz Saygılarımızla 24 129 100 84,PROFANITY,jigsaw,1,INSULT,0.953004733053502
